,age,[Z/H],alpha,HdA,HdF,HgA,HgF,CN1,CN2,Ca4227,G4300,Fe4383,Ca4455,Fe4531,C4668,Hb,Fe5015,Mg1,Mg2,Mgb,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,NaD,TiO1,TiO2,<Fe>,MgFe
76,12,0,0.3,-1.73,0.301,-5.55,-1.47,0.0626,0.0951,1.4,6.1,4.56,1.76,3.27,5.4,1.65,5.12,0.112,0.267,4.3,2.69,2.17,1.44,0.92,0.733,3.35,0.0442,0.0847,2.43,3.23249129929223
77,13,0,0.3,-1.89,0.232,-5.72,-1.57,0.0672,0.0997,1.43,6.17,4.61,1.79,3.3,5.48,1.6,5.2,0.114,0.271,4.38,2.73,2.19,1.46,0.925,0.739,3.41,0.0448,0.0866,2.46,3.28249904798158
78,14,0,0.3,-2.03,0.169,-5.86,-1.66,0.0712,0.104,1.46,6.23,4.68,1.81,3.33,5.55,1.56,5.22,0.118,0.276,4.44,2.75,2.21,1.47,0.926,0.742,3.47,0.0457,0.0895,2.48,3.31831282431298
79,15,0,0.3,-2.17,0.109,-5.99,-1.75,0.0752,0.108,1.49,6.29,4.74,1.84,3.37,5.62,1.51,5.25,0.121,0.281,4.49,2.78,2.23,1.49,0.928,0.746,3.54,0.0465,0.093,2.505,3.35372181315028
80,0.1,0.35,0.3,9.49,6.66,9.08,6.67,-0.157,-0.0791,0.115,-0.978,-1.05,0.263,0.459,1.59,6.19,1.67,0.0343,0.0946,1.39,0.746,0.303,0.184,0.516,0.419,1.58,0.0192,0.0143,0.5245,0.853847176021564
81,0.2,0.35,0.3,10.6,7.02,10.2,7.04,-0.166,-0.0852,0.234,-0.923,-0.872,0.491,0.981,2.11,6.56,2.39,0.032,0.106,1.67,1.03,0.614,0.345,0.588,0.45,1.74,0.0196,0.0142,0.822,1.17163987641254
82,0.4,0.35,0.3,9.45,6.05,8.27,5.87,-0.119,-0.0503,0.422,0.608,0.0956,0.834,1.66,3.3,5.49,3.36,0.0401,0.134,2.18,1.51,1.11,0.655,0.727,0.547,2.13,0.0204,0.0165,1.31,1.6899112402727
83,0.6,0.35,0.3,7.32,4.8,5.52,4.4,-0.0713,-0.0135,0.587,2,1.03,1.09,2.12,4.27,4.51,3.99,0.0525,0.158,2.57,1.85,1.46,0.894,0.831,0.636,2.47,0.022,0.021,1.655,2.06236514710659
84,0.8,0.35,0.3,5.53,3.84,3.15,3.18,-0.0398,0.0112,0.751,2.97,1.8,1.29,2.47,5.03,3.75,4.44,0.07,0.186,2.89,2.13,1.76,1.12,0.916,0.729,2.86,0.0285,0.0389,1.945,2.37087536576683
85,1,0.35,0.3,3.93,3.04,1.19,2.17,-0.0119,0.0346,0.875,3.68,2.44,1.44,2.73,5.68,3.23,4.82,0.0821,0.207,3.17,2.34,1.97,1.27,0.952,0.774,3.12,0.0357,0.0546,2.155,2.61368513788482
86,2,0.35,0.3,0.417,1.48,-2.9,0.118,0.0525,0.0914,1.18,5.16,4.11,1.75,3.17,6.94,2.34,5.43,0.106,0.258,4,2.7,2.29,1.51,1.04,0.856,3.56,0.0407,0.0691,2.495,3.15911379978626
87,3,0.35,0.3,-0.273,1.12,-3.83,-0.389,0.0625,0.0987,1.28,5.55,4.47,1.82,3.27,7.14,2.17,5.57,0.112,0.269,4.22,2.77,2.36,1.56,1.06,0.867,3.65,0.0411,0.0716,2.565,3.29003039499637
88,4,0.35,0.3,-0.841,0.852,-4.54,-0.794,0.0753,0.111,1.38,5.84,4.77,1.89,3.38,7.38,2.01,5.69,0.119,0.283,4.43,2.86,2.45,1.63,1.07,0.879,3.8,0.0424,0.0765,2.655,3.42952620634396
89,5,0.35,0.3,-1.24,0.666,-5.01,-1.07,0.0822,0.117,1.45,6.04,4.97,1.94,3.45,7.54,1.9,5.76,0.125,0.293,4.57,2.91,2.5,1.66,1.09,0.889,3.91,0.0431,0.0806,2.705,3.51594226346224
90,6,0.35,0.3,-1.57,0.52,-5.39,-1.29,0.0896,0.124,1.51,6.19,5.14,1.99,3.52,7.69,1.81,5.81,0.13,0.302,4.69,2.96,2.54,1.7,1.09,0.899,4.02,0.044,0.0847,2.75,3.59130895357111
91,7,0.35,0.3,-1.76,0.436,-5.6,-1.42,0.0939,0.128,1.55,6.27,5.24,2.01,3.55,7.75,1.76,5.83,0.132,0.306,4.76,2.98,2.55,1.72,1.1,0.9,4.08,0.0442,0.0869,2.765,3.62786438555798
92,8,0.35,0.3,-1.95,0.353,-5.81,-1.55,0.0971,0.131,1.6,6.35,5.33,2.04,3.59,7.81,1.71,5.87,0.136,0.312,4.84,3.01,2.59,1.73,1.1,0.902,4.15,0.0446,0.0895,2.8,3.68130411674993
93,9,0.35,0.3,-2.12,0.282,-5.97,-1.66,0.101,0.134,1.63,6.41,5.39,2.06,3.62,7.86,1.67,5.89,0.137,0.316,4.91,3.03,2.6,1.74,1.1,0.901,4.21,0.0448,0.0914,2.815,3.71774797424462
94,10,0.35,0.3,-2.31,0.2,-6.17,-1.78,0.107,0.141,1.68,6.48,5.49,2.09,3.66,7.97,1.61,5.94,0.141,0.322,5,3.07,2.63,1.77,1.1,0.906,4.29,0.0456,0.0947,2.85,3.77491721763537
95,11,0.35,0.3,-2.51,0.113,-6.37,-1.91,0.115,0.149,1.74,6.55,5.59,2.13,3.71,8.1,1.55,6.01,0.145,0.33,5.09,3.11,2.66,1.8,1.1,0.914,4.39,0.0466,0.0985,2.885,3.83205558414802
96,12,0.35,0.3,-2.67,0.0409,-6.52,-2.01,0.122,0.157,1.79,6.6,5.68,2.16,3.76,8.2,1.5,6.04,0.149,0.336,5.16,3.15,2.69,1.82,1.1,0.92,4.49,0.0474,0.102,2.92,3.8816491340666
97,13,0.35,0.3,-2.8,-0.00741,-6.65,-2.09,0.13,0.165,1.83,6.63,5.76,2.19,3.8,8.31,1.45,6.06,0.153,0.343,5.23,3.19,2.71,1.84,1.11,0.928,4.59,0.0482,0.106,2.95,3.92791293182525
